Rank,Teams,Playoff,W,L,W/L%,GB,Year,Season TER,Playoff TER
1,Boston Celtics,3,53,29,0.646,0,2017,17.1,15.3
2,Cleveland Cavaliers,4,51,31,0.622,2,2017,19.08,19.1
3,Toronto Raptors,2,51,31,0.622,2,2017,18.54,14.54
4,Washington Wizards,2,49,33,0.598,4,2017,17.94,16.76
5,Atlanta Hawks,1,43,39,0.524,10,2017,16.28,14.2
6,Milwaukee Bucks,1,42,40,0.512,11,2017,16.24,14.4
7,Indiana Pacers,1,42,40,0.512,11,2017,16.54,14.9
8,Chicago Bulls ,1,41,41,0.5,12,2017,17.22,18.14
9,Miami Heat ,0,41,41,0.5,12,2017,0,0
10,Detroit Pistons ,0,37,45,0.451,16,2017,0,0
11,Charlotte Hornets ,0,36,46,0.439,17,2017,0,0
12,New York Knicks ,0,31,51,0.378,22,2017,0,0
13,Orlando Magic ,0,29,53,0.354,24,2017,0,0
14,Philadelphia 76ers ,0,28,54,0.341,25,2017,0,0
15,Brooklyn Nets ,0,20,62,0.244,33,2017,0,0
16,Golden State Warriors,5,67,15,0.817,0,2017,20.08,18.46
17,San Antonio Spurs,3,61,21,0.744,6,2017,18.34,16.6
18,Houston Rockets,2,55,27,0.671,12,2017,15.9,13.34
19,Los Angeles Clippers,1,51,31,0.622,16,2017,19.36,14.62
20,Utah Jazz,2,51,31,0.622,16,2017,16.62,13.74
21,Oklahoma City Thunder,1,47,35,0.573,20,2017,15.44,16.74
22,Memphis Grizzlies,1,43,39,0.524,24,2017,17.44,14.6
23,Portland Trail Blazers,1,41,41,0.5,26,2017,15.96,13.04
24,Denver Nuggets,0,40,42,0.488,27,2017,0,0
25,New Orleans Pelicans ,0,34,48,0.415,33,2017,0,0
26,Dallas Mavericks ,0,33,49,0.402,34,2017,0,0
27,Sacramento Kings ,0,32,50,0.39,35,2017,0,0
28,Minnesota Timberwolves  ,0,31,51,0.378,36,2017,0,0
29,Los Angeles Lakers ,0,26,56,0.317,41,2017,0,0
30,Phoenix Suns ,0,24,58,0.293,43,2017,0,0
31,Toronto Raptors,2,59,23,0.72,0,2018,18.84,17.08
32,Boston Celtics,3,55,27,0.671,4,2018,14.48,15.78
33,Philadelphia 76ers,2,52,30,0.634,7,2018,17.5,15.56
34,Cleveland Cavaliers ,4,50,32,0.61,9,2018,17.56,15.94
35,Indiana Pacers,1,48,34,0.585,11,2018,16.32,14.98
36,Miami Heat,1,44,38,0.537,15,2018,15.96,11.3
37,Milwaukee Bucks,1,44,38,0.537,15,2018,17.5,14.68
38,Washington Wizards,1,43,39,0.524,16,2018,16.74,15.84
39,Detroit Pistons ,0,39,43,0.476,20,2018,0,0
40,Charlotte Hornets ,0,36,46,0.439,23,2018,0,0
41,New York Knicks ,0,29,53,0.354,30,2018,0,0
42,Brooklyn Nets ,0,28,54,0.341,31,2018,0,0
43,Chicago Bulls ,0,27,55,0.329,32,2018,0,0
44,Orlando Magic ,0,25,57,0.305,34,2018,0,0
45,Atlanta Hawks ,0,24,58,0.293,35,2018,0,0
46,Houston Rockets,3,65,17,0.793,0,2018,21.14,18.3
47,Golden State Warriors ,5,58,24,0.707,7,2018,19.5,18.44
48,Portland Trail Blazers,1,49,33,0.598,16,2018,16.66,16.34
49,Oklahoma City Thunder,1,48,34,0.585,17,2018,18.58,14.38
50,Utah Jazz,2,48,34,0.585,17,2018,17.2,16.16
51,New Orleans Pelicans,2,48,34,0.585,17,2018,16.68,15.68
52,San Antonio Spurs,1,47,35,0.573,18,2018,16.6,14.08
53,Minnesota Timberwolves ,1,47,35,0.573,18,2018,18.68,13.84
54,Denver Nuggets ,0,46,36,0.561,19,2018,0,0
55,Los Angeles Clippers ,0,42,40,0.512,23,2018,0,0
56,Los Angeles Lakers ,0,35,47,0.427,30,2018,0,0
57,Sacramento Kings ,0,27,55,0.329,38,2018,0,0
58,Dallas Mavericks ,0,24,58,0.293,41,2018,0,0
59,Memphis Grizzlies ,0,22,60,0.268,43,2018,0,0
60,Phoenix Suns ,0,21,61,0.256,44,2018,0,0
61,Milwaukee Bucks,52,18,0.743,0,117.7,2019,19.62,0
62,Toronto Raptors,50,21,0.704,2.5,114.1,2019,18.4,0
63,Philadelphia 76ers ,45,25,0.643,7,115.1,2019,18.96,0
64,Indiana Pacers ,44,27,0.62,8.5,107.9,2019,15.62,0
65,Boston Celtics ,43,28,0.606,9.5,112.7,2019,17.62,0
66,Detroit Pistons ,36,34,0.514,16,107.4,2019,16.28,0
67,Brooklyn Nets ,36,36,0.5,17,111.5,2019,16.32,0
68,Miami Heat ,34,36,0.486,18,105.9,2019,13.98,0
69,Orlando Magic  ,33,38,0.465,19.5,105.7,2019,0,0
70,Charlotte Hornets ,31,38,0.449,20.5,110.3,2019,0,0
71,Washington Wizards  ,30,41,0.423,22.5,114.4,2019,0,0
72,Atlanta Hawks ,24,47,0.338,28.5,112.5,2019,0,0
73,Chicago Bulls ,20,52,0.278,33,105.3,2019,0,0
74,Cleveland Cavaliers ,18,53,0.254,34.5,104.3,2019,0,0
75,New York Knicks ,14,57,0.197,38.5,105.1,2019,0,0
76,Golden State Warriors  ,47,22,0.681,0,117.7,2019,18.4,0
77,Denver Nuggets ,47,22,0.681,0,112,2019,18.42,0
78,Houston Rockets ,44,26,0.629,3.5,112.9,2019,18.86,0
79,Portland Trail Blazers ,43,27,0.614,4.5,113.9,2019,17.68,0
80,San Antonio Spurs ,42,29,0.592,6,111.9,2019,15.86,0
81,Oklahoma City Thunder ,42,29,0.592,6,114.5,2019,18.06,0
82,Utah Jazz ,41,29,0.586,6.5,110.2,2019,15.78,0
83,Los Angeles Clippers ,41,30,0.577,7,114.7,2019,17.4,0
84,Sacramento Kings ,34,35,0.493,13,114,2019,0,0
85,Minnesota Timberwolves,32,38,0.457,15.5,112.6,2019,0,0
86,Los Angeles Lakers ,31,39,0.443,16.5,111.9,2019,0,0
87,New Orleans Pelicans  ,31,42,0.425,18,116,2019,0,0
88,Dallas Mavericks ,28,42,0.4,19.5,108.2,2019,0,0
89,Memphis Grizzlies ,28,42,0.4,19.5,102.1,2019,0,0
90,Phoenix Suns,17,55,0.236,31.5,107.1,2019,0,0
