No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Eric Bledsoe,PG,01-Jun,205,09-Dec-89,us,8,University of Kentucky
34,Giannis Antetokounmpo,PF,11-Jun,242,06-Dec-94,gr,5,
22,Khris Middleton,SF,08-Jun,222,12-Aug-91,us,6,Texas A&M University
13,Malcolm Brogdon,SG,05-Jun,229,11-Dec-92,us,2,University of Virginia
5,D.J. Wilson,PF,10-Jun,231,19-Feb-96,us,1,University of Michigan
3,George Hill,PG,03-Jun,188,04-May-86,us,10,Indiana University-Purdue University Indianapolis
23,Sterling Brown,SG,06-Jun,232,10-Feb-95,us,1,Southern Methodist University
21,Tony Snell,SG,07-Jun,213,10-Nov-91,us,5,University of New Mexico
41,Nikola Mirotic,PF,10-Jun,250,11-Feb-91,me,4,
9,Donte DiVincenzo,SG,04-Jun,203,31-Jan-97,us,R,Villanova University
77,Ersan Ilyasova,PF,10-Jun,235,15-May-87,tr,10,
11,Brook Lopez,C,7-0,270,01-Apr-88,us,10,Stanford University
0,Trevon Duval,PG,02-Jun,189,03-Aug-98,us,R,Duke University
24,Pat Connaughton,SG,04-Jun,209,06-Jan-93,us,3,University of Notre Dame
35,Christian Wood,PF,10-Jun,214,27-Sep-95,us,2,"University of Nevada, Las Vegas"
50,Bonzie Colson  (TW),SF,06-Jun,224,12-Jan-96,us,R,University of Notre Dame
17,Pau Gasol,C,7-0,250,06-Jul-80,es,17,
